searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
yns3,"duLDAPKey=2a2b155a-3889-11e6-a10e-06511b144c1c,ou=people,dc=duke,dc=edu",0722969,student,Undergraduate,A&SU,2022 Sprng
cbo12,"duLDAPKey=c6190ce0-9622-4c90-9ba1-7f223ea80ce2,ou=people,dc=duke,dc=edu",0739966,student,Undergraduate,A&S,2021 Sprng
ak445,"duLDAPKey=e70d580e-9ad1-49bb-a907-e374b26543ce,ou=people,dc=duke,dc=edu",0737228,student,Undergraduate,A&S,2021 Sprng
cxz3,"duLDAPKey=099febf4-43e2-42e1-b9af-545038e805eb,ou=people,dc=duke,dc=edu",0826706,student,Undergraduate,A&SU,2022 Sprng
mab154,"duLDAPKey=e85b11be-8999-11e5-8ed1-0be81a144c1c,ou=people,dc=duke,dc=edu",0698658,student,Undergraduate,A&S,2020 Sprng
aa399,"duLDAPKey=e47d4200-97be-11e5-b7ff-97691b144c1c,ou=people,dc=duke,dc=edu",0699496,student,Undergraduate,A&S,2020 Sprng
mji3,"duLDAPKey=8d044a0a-1dd2-11b2-b8b2-e02c52381c12,ou=people,dc=duke,dc=edu",0643815,staff,,,
ab600,"duLDAPKey=3acf5be8-db53-11e5-beea-20d81a144c1c,ou=people,dc=duke,dc=edu",0706185,,,,
jem110,"duLDAPKey=aae16fb0-6a8b-4cd3-a86b-8b3117dc5569,ou=people,dc=duke,dc=edu",0737876,student,Undergraduate,A&S,2021 Sprng
pr96,"duLDAPKey=3ef60526-7c32-4355-89a0-9f8b0a2e70e8,ou=people,dc=duke,dc=edu",0737914,student,Undergraduate,A&S,2021 Sprng
nlr18,"duLDAPKey=fa58f4f2-dc1c-484e-9c90-fdce9e9a2c94,ou=people,dc=duke,dc=edu",0867598,student,Undergraduate,A&SU,2022 Sprng
ak509,"duLDAPKey=238fa56d-1133-4a15-9eff-0c434154afa7,ou=people,dc=duke,dc=edu",0850828,student,Undergraduate,A&S,2022 Sprng
qhc,"duLDAPKey=20b42779-d32e-4645-8d55-0103b9ac83b3,ou=people,dc=duke,dc=edu",0834141,student,Nicholas School of Environment,N-MEM,2020 Sprng
mll55,"duLDAPKey=396808de-e0ea-48df-b63a-8f297d53ba67,ou=people,dc=duke,dc=edu",0748436,student,Undergraduate,E-UGD,2021 Sprng
ajl62,"duLDAPKey=d8d0c764-1dd1-11b2-813d-e02c52381c12,ou=people,dc=duke,dc=edu",0674722,staff,,,
akk33,"duLDAPKey=6c27de66-1dd2-11b2-bcee-e02c52381c12,ou=people,dc=duke,dc=edu",0668267,,,,
nh144,"duLDAPKey=d2d13d9c-d9d2-496f-a339-fef5bb3d3e00,ou=people,dc=duke,dc=edu",0894109,student,Physical Therapy - Doctorate,PT-D2,2021 Sprng
jec92,"duLDAPKey=9529fc85-4226-4f3d-9947-69efa9215dfd,ou=people,dc=duke,dc=edu",0824013,student,Undergraduate,A&SU,2022 Sprng
elm64,"duLDAPKey=b5baa43c-b8a7-4ab9-a2c2-af9a6f6fd710,ou=people,dc=duke,dc=edu",0852246,student,Undergraduate,A&SU,2022 Sprng
jfo4,"duLDAPKey=dc3fcb0a-1dd1-11b2-8184-e02c52381c12,ou=people,dc=duke,dc=edu",0675767,,,,
mg300,"duLDAPKey=701817ba-1dd2-11b2-825f-e02c52381c12,ou=people,dc=duke,dc=edu",0681186,,,,
hh198,"duLDAPKey=65e14835-a48d-43b3-ad50-c6005776a2fd,ou=people,dc=duke,dc=edu",0870369,student,Undergraduate,A&SU,2022 Sprng
rmm59,"duLDAPKey=5ba88f56-1dd2-11b2-81ae-e02c52381c12,ou=people,dc=duke,dc=edu",0677552,,,,
