searchValue,dn,dudukeid,edupersonprimaryaffiliation,dupsacadcareerdescc1,dupsacadprogc1,dupsexpgradtermc1
lyl8,"duLDAPKey=2e78374b-a988-4838-8eed-680b12dcf14f,ou=people,dc=duke,dc=edu",0744381,student,Graduate,GPA&S,2024 Sprng
ejm54,"duLDAPKey=ae30c946-99ac-403b-a5a0-4386a277fe01,ou=people,dc=duke,dc=edu",0849037,student,Graduate,GPINT,2026 Sprng
mw350,"duLDAPKey=15152cba-df41-11e5-ae94-5b141b144c1c,ou=people,dc=duke,dc=edu",0707525,student,Undergraduate,E-UGD,2020 Sprng
ar506,"duLDAPKey=04e7f32d-076c-47f9-869f-a6faa5428055,ou=people,dc=duke,dc=edu",0766414,student,Undergraduate,A&S,2021 Sprng
rg180,"duLDAPKey=22d87dc0-1dd2-11b2-81ec-e02c52381c12,ou=people,dc=duke,dc=edu",0692552,student,Undergraduate,A&S,2021 Sprng
tn85,"duLDAPKey=4a9ed3f2-f372-4f89-b2b3-6d47c8ab285c,ou=people,dc=duke,dc=edu",0735501,student,Undergraduate,A&S,2021 Sprng
vrp6,"duLDAPKey=fe13a79a-d11b-11e5-9494-968f1b144c1c,ou=people,dc=duke,dc=edu",0704618,student,Undergraduate,A&S,2020 Sprng
jmn51,"duLDAPKey=4e036974-26a6-4116-a26e-97b2ac13416a,ou=people,dc=duke,dc=edu",0828619,student,Undergraduate,A&SU,2022 Sprng
jm622,"duLDAPKey=167ca813-eb68-465c-abed-856a78b53f75,ou=people,dc=duke,dc=edu",0850532,student,Graduate,GMINT,2021 Sprng
mo126,"duLDAPKey=f7d71467-c4ca-47d4-a64f-726339fa9845,ou=people,dc=duke,dc=edu",0774478,student,Undergraduate,A&S,2021 Sprng
mcr44,"duLDAPKey=d3b4f735-ec17-4bb1-aeea-5ed3acf19130,ou=people,dc=duke,dc=edu",0747309,student,Undergraduate,A&S,2021 Sprng
rem59,"duLDAPKey=a1d2d110-e71c-11e5-87da-90471b144c1c,ou=people,dc=duke,dc=edu",0711737,student,Undergraduate,E-UGD,2020 Sprng
emg64,"duLDAPKey=97368054-77fd-459b-9482-85ae355f03d8,ou=people,dc=duke,dc=edu",0763191,student,Undergraduate,A&S,2021 Sprng
ead41,"duLDAPKey=8b38af61-8f21-4a08-b9bf-067efd50eb7a,ou=people,dc=duke,dc=edu",0737318,student,Undergraduate,A&S,2021 Sprng
lde9,"duLDAPKey=c05fb2d4-1dd1-11b2-bd35-e02c52381c12,ou=people,dc=duke,dc=edu",0668672,student,Undergraduate,A&S,2020 Sprng
hky2,"duLDAPKey=3637dbd1-a106-46db-a2d3-b9e64659285a,ou=people,dc=duke,dc=edu",0768952,student,Undergraduate,A&S,2021 Sprng
ss682,"duLDAPKey=bca4b440-1dd1-11b2-8410-e02c52381c12,ou=people,dc=duke,dc=edu",0658853,student,Undergraduate,A&S,2021 Sprng
aj297,"duLDAPKey=f027ad69-2cf0-4328-b77b-a2fb9fed97d9,ou=people,dc=duke,dc=edu",0937780,student,Nicholas School of Environment,N-MEM,2021 Sprng
xy109,"duLDAPKey=e699a10e-251d-48dd-a180-120fe480d7e1,ou=people,dc=duke,dc=edu",0929774,student,Nicholas School of Environment,N-MEM,2021 Sprng
agv9,"duLDAPKey=13353428-af12-4eb1-a5f2-08ccde365b68,ou=people,dc=duke,dc=edu",0961840,student,Graduate,GMINT,2022 Sprng
yns3,"duLDAPKey=2a2b155a-3889-11e6-a10e-06511b144c1c,ou=people,dc=duke,dc=edu",0722969,student,Undergraduate,A&SU,2022 Sprng
yb69,"duLDAPKey=52359805-fe4f-4fef-b3f1-85ade40d2eb0,ou=people,dc=duke,dc=edu",0964401,student,Engineering Professional,E-MGT,2021 Sprng
rv90,"duLDAPKey=3e05f7d0-cd4a-40f6-93c7-af9845877a84,ou=people,dc=duke,dc=edu",0931276,student,Engineering Professional,E-MGT,2021 Sprng
ns292,"duLDAPKey=1d4ddffc-113e-4fd7-9e06-642151830574,ou=people,dc=duke,dc=edu",0933362,student,Engineering Professional,E-MGT,2021 Sprng
tg178,"duLDAPKey=4c748fa8-61b4-41d4-ba81-dd7db1af1230,ou=people,dc=duke,dc=edu",0930797,student,Engineering Professional,E-MGT,2021 Sprng
crm80,"duLDAPKey=8dd3c649-08ad-4442-aa85-8ab89ad9c1b6,ou=people,dc=duke,dc=edu",0876308,student,Undergraduate,A&SU,2022 Sprng
jm519,"duLDAPKey=889f804a-e653-11e5-969d-a2251b144c1c,ou=people,dc=duke,dc=edu",0711388,student,Undergraduate,A&S,2020 Sprng
hee5,"duLDAPKey=5223f342-3e2a-4bfc-a779-2d606a4d283a,ou=people,dc=duke,dc=edu",0827143,student,Undergraduate,A&SU,2022 Sprng
ac585,"duLDAPKey=e8b10da6-a453-49c2-a7e4-4190112453c2,ou=people,dc=duke,dc=edu",0827419,student,Undergraduate,A&SU,2022 Sprng
lm348,"duLDAPKey=bf233912-3c7e-4a22-8a3e-3d61af3bc504,ou=people,dc=duke,dc=edu",0891108,student,Graduate,GMINT,2021 Sprng
yai3,"duLDAPKey=6444b01e-526a-490a-a67f-329e04e70bb7,ou=people,dc=duke,dc=edu",0791145,,,,
kjc61,"duLDAPKey=468bc957-7f30-4b19-acb0-185049c66e1a,ou=people,dc=duke,dc=edu",0945335,student,Divinity School,DIVN,2022 Sprng
ar498,"duLDAPKey=fda494b0-d821-44e4-b782-4325281d4742,ou=people,dc=duke,dc=edu",0834754,student,Graduate,GMENG,2019 Fall
jp431,"duLDAPKey=eff21c46-3a63-406d-afd0-b1f672c3e2ce,ou=people,dc=duke,dc=edu",0889542,student,Engineering Professional,E-EGR,2019 Fall
amm213,"duLDAPKey=1cde37ab-30fb-4686-89ee-eb7ad7227121,ou=people,dc=duke,dc=edu",0885875,student,Graduate,GMINT,2021 Sprng
bys4,"duLDAPKey=70b754c0-eb94-492a-b85d-feefc67245e5,ou=people,dc=duke,dc=edu",0828273,student,Undergraduate,A&SU,2022 Sprng
rpj10,"duLDAPKey=8b4d34f2-b9f1-4801-bdfd-d62279ffc24e,ou=people,dc=duke,dc=edu",0872747,student,Undergraduate,A&SU,2022 Sprng
ns265,"duLDAPKey=6e1c78e5-76e5-468d-9ec2-6b23a8ddb1bc,ou=people,dc=duke,dc=edu",0824499,student,Undergraduate,A&SU,2022 Sprng
as818,"duLDAPKey=587e1762-b90e-4cee-bcd0-beb15c525615,ou=people,dc=duke,dc=edu",0758688,student,Undergraduate,A&S,2021 Sprng
ak313,"duLDAPKey=a1004944-1dd1-11b2-aa5d-e02c52381c12,ou=people,dc=duke,dc=edu",0626893,student,Undergraduate,A&SU,2021 Sprng
